Iteration 88500, err: 1.036225515333812, h: 4.4325002522474725e-06
Iteration 89000, err: 1.1289150179984353, h: 4.724107602717354e-06
Iteration 89500, err: 1.1550258938463722, h: 4.803234470038646e-06
Iteration 90000, err: 1.2193563509437824, h: 4.999821716334669e-06
Iteration 90500, err: 1.3865218106365604, h: 5.502606399851036e-06
Iteration 91000, err: 1.4785364438869462, h: 5.7711814015705196e-06
Iteration 91500, err: 0.9018449060316429, h: 6.466091228815369e-06
Iteration 92000, err: 0.929763403325148, h: 6.6627053965770465e-06
Iteration 92500, err: 0.999441984394574, h: 7.158209265837323e-06
Iteration 93000, err: 1.0362254533995903, h: 4.41120968215494e-06
Iteration 93500, err: 1.1289149345920082, h: 4.701455052143019e-06
Iteration 94000, err: 1.1550258029951033, h: 4.7802417946177295e-06
Iteration 94500, err: 1.2193562417639838, h: 4.975928778412512e-06
Iteration 95000, err: 1.386521653067861, h: 5.476355495541e-06
Iteration 95500, err: 1.4785362548872867, h: 5.7436960736392975e-06
Iteration 96000, err: 0.9018448731980587, h: 6.435348671193962e-06
Iteration 96500, err: 0.9297633645697984, h: 6.631081905111531e-06
Iteration 97000, err: 0.9994419322713715, h: 7.124291606613737e-06
Iteration 97500, err: 1.0362253925933245, h: 4.390343650008974e-06
Iteration 98000, err: 1.1289148528089377, h: 4.679253798664424e-06
Iteration 98500, err: 1.155025714059553, h: 4.757706788558837e-06
Iteration 99000, err: 1.2193561348273632, h: 4.952511011338698e-06
Iteration 99500, err: 1.3865214986264085, h: 5.450626199005904e-06
Iteration 100000, err: 1.4785360696847942, h: 5.716756403755898e-06
Iteration 100500, err: 0.901844840903811, h: 6.405215903659509e-06
Iteration 101000, err: 0.9297633269700428, h: 6.600085131786189e-06
Iteration 101500, err: 0.9994418810232619, h: 7.0910455465024085e-06
Iteration 102000, err: 1.036225333178255, h: 4.369890423956214e-06
Iteration 102500, err: 1.1289147729258693, h: 4.657491386883891e-06
Iteration 103000, err: 1.1550256269650576, h: 4.735616835914518e-06
Iteration 103500, err: 1.2193560301476307, h: 4.929555333204568e-06
Iteration 104000, err: 1.3865213472299858, h: 5.4254041672514165e-06
Iteration 104500, err: 1.478535888313108, h: 5.690347406010894e-06
Iteration 105000, err: 0.9018448092991513, h: 6.375676200281204e-06
Iteration 105500, err: 0.9297632899103727, h: 6.569697905452118e-06
Iteration 106000, err: 0.9994418310085298, h: 7.058452708821787e-06
Iteration 106500, err: 1.0362252749785632, h: 4.3498387229279355e-06
Iteration 107000, err: 1.1289146945429958, h: 4.636155838678101e-06
Iteration 107500, err: 1.1550255415366932, h: 4.7139598049224e-06
Iteration 108000, err: 1.2193559278105106, h: 4.90704916210633e-06
Iteration 108500, err: 1.3865211991915887, h: 5.400675605855339e-06
Iteration 109000, err: 1.4785357107676727, h: 5.664454666429e-06
Iteration 109500, err: 0.9018447785475651, h: 6.346713472464695e-06
Iteration 110000, err: 0.9297632537549927, h: 6.539903711777135e-06
Iteration 110500, err: 0.999441781965363, h: 7.026495416307914e-06
Iteration 111000, err: 1.0362252179672953, h: 4.330177693802793e-06
Iteration 111500, err: 1.128914617763371, h: 4.615235630584294e-06
Iteration 112000, err: 1.1550254578969215, h: 4.692724021738071e-06
Iteration 112500, err: 1.2193558271818958, h: 4.884980393889272e-06
Iteration 113000, err: 1.3865210538376354, h: 5.3764272410757755e-06
Iteration 113500, err: 1.4785355366093247, h: 5.639064316194374e-06
Iteration 114000, err: 0.9018447482299857, h: 6.318312238139174e-06
Iteration 114500, err: 0.9297632180778321, h: 6.510686656303174e-06
Iteration 115000, err: 0.9994417337974474, h: 6.995156657451461e-06
Iteration 115500, err: 1.0362251620722767, h: 4.3108968926880625e-06
Iteration 116000, err: 1.1289145424079996, h: 4.5947196719831e-06
Iteration 116500, err: 1.1550253758754434, h: 4.671898251958047e-06
Iteration 117000, err: 1.2193557288924652, h: 4.863337375583256e-06
Iteration 117500, err: 1.386520911687829, h: 5.352646297459151e-06
Iteration 118000, err: 1.4785353659577494, h: 5.614163004973752e-06
Iteration 118500, err: 0.9018447183341484, h: 6.290457594682967e-06
Iteration 119000, err: 0.929763183448712, h: 6.4820314403098096e-06
Iteration 119500, err: 0.9994416865797515, h: 6.964420053685856e-06
Iteration 120000, err: 1.0362251073775681, h: 4.291986262806832e-06
Iteration 120500, err: 1.1289144690144324, h: 4.5745972841294056e-06
Iteration 121000, err: 1.1550252956067029, h: 4.651471677391649e-06
Iteration 121500, err: 1.2193556322589605, h: 4.842108888002513e-06
Iteration 122000, err: 1.3865207720746617, h: 5.329320471196418e-06
Iteration 122500, err: 1.4785351989041369, h: 5.589737875434933e-06
Iteration 123000, err: 0.9018446892656136, h: 6.263135188342762e-06
Iteration 123500, err: 0.9297631492449486, h: 6.453923326982311e-06
Iteration 124000, err: 0.999441640363118, h: 6.9342698312476896e-06
Iteration 124500, err: 1.0362250535249538, h: 4.273436119416148e-06
Iteration 125000, err: 1.1289143964376145, h: 4.5548581816265876e-06
Iteration 125500, err: 1.1550252167328894, h: 4.631433878322738e-06
Iteration 126000, err: 1.21935553747511, h: 4.821284123842374e-06
Iteration 126500, err: 1.3865206351369324, h: 5.306437911128259e-06
Iteration 127000, err: 1.4785350347060076, h: 5.56577654204372e-06
Iteration 127500, err: 0.9018446606472451, h: 6.2363311921476925e-06
Iteration 128000, err: 0.9297631158489954, h: 6.426348119621239e-06
Iteration 128500, err: 0.9994415951756951, h: 6.90469079099131e-06
Iteration 129000, err: 1.0362250009196592, h: 4.255237129424237e-06
Iteration 129500, err: 1.1289143256591812, h: 4.535492453400524e-06
Iteration 130000, err: 1.1550251394074058, h: 4.611774813260553e-06
Iteration 130500, err: 1.219355444823683, h: 4.800852667538073e-06
Iteration 131000, err: 1.3865205010300699, h: 5.283987194742819e-06
Iteration 131500, err: 1.4785348740018498, h: 5.542267067925882e-06
Iteration 132000, err: 0.9018446325203898, h: 6.210032279573647e-06
Iteration 132500, err: 0.9297630828460715, h: 6.399292134795473e-06
Iteration 133000, err: 0.9994415506180844, h: 6.875668284956485e-06
Iteration 133500, err: 1.0362249493272897, h: 4.237380297722632e-06
Iteration 134000, err: 1.1289142561786139, h: 4.516490545621001e-06
Iteration 134500, err: 1.1550250636985735, h: 4.592484802793486e-06
Iteration 135000, err: 1.2193553538667523, h: 4.780804478747945e-06
Iteration 135500, err: 1.3865203695219646, h: 5.2619573116352896e-06
Iteration 136000, err: 1.4785347159934616, h: 5.519197944980043e-06
Iteration 136500, err: 0.9018446051524778, h: 6.184225601926761e-06
Iteration 137000, err: 0.9297630506392949, h: 6.3727421799724216e-06
Iteration 137500, err: 0.9994415070798072, h: 6.847188187393675e-06
Iteration 138000, err: 1.0362248986778066, h: 4.219856950346373e-06
Iteration 138500, err: 1.1289141878196864, h: 4.49784324639563e-06
Iteration 139000, err: 1.1550249891812687, h: 4.573554513229723e-06
Iteration 139500, err: 1.2193552644539043, h: 4.7611298758586255e-06
Iteration 140000, err: 1.3865202401914298, h: 5.240337641865958e-06
Iteration 140500, err: 1.478534561485873, h: 5.4965580745423876e-06
Iteration 141000, err: 0.9018445782249257, h: 6.1588987659961684e-06
Iteration 141500, err: 0.9297630192410358, h: 6.3466855297195164e-06
Iteration 142000, err: 0.9994414643245588, h: 6.8192368747916594e-06
Iteration 142500, err: 1.0362248490713446, h: 4.2026587201947945e-06
Iteration 143000, err: 1.1289141207401732, h: 4.479541668993343e-06
Iteration 143500, err: 1.155024916159565, h: 4.554974939560525e-06
Iteration 144000, err: 1.2193551767312396, h: 4.741819517559173e-06
Iteration 144500, err: 1.3865201132485279, h: 5.219117941101217e-06
Iteration 145000, err: 1.4785344094318518, h: 5.474336748199845e-06
Iteration 145500, err: 0.9018445518498733, h: 6.134039815817973e-06
Iteration 146000, err: 0.929762988059941, h: 6.321109905655887e-06
Iteration 146500, err: 0.9994414223014105, h: 6.791801200337376e-06
Iteration 147000, err: 1.0362248001661072, h: 4.185777534418278e-06
Iteration 147500, err: 1.1289140552355588, h: 4.461577237427607e-06
Iteration 148000, err: 1.1550248446546312, h: 4.53673739249028e-06
Iteration 148500, err: 1.219355090737907, h: 4.722864389463171e-06
Iteration 149000, err: 1.3865199889325108, h: 5.198288322193674e-06
Iteration 149500, err: 1.4785342601968865, h: 5.452523631231285e-06
Iteration 150000, err: 0.9018445259620075, h: 6.109637211749129e-06
Iteration 150500, err: 0.929762957749576, h: 6.29600345790508e-06
Iteration 151000, err: 0.9994413811510372, h: 6.76486847559116e-06
Iteration 151500, err: 1.036224752411951, h: 4.1692055993835606e-06
Iteration 152000, err: 1.128913990502154, h: 4.443941674562948e-06
Iteration 152500, err: 1.1550247744005182, h: 4.518833484053629e-06
Iteration 153000, err: 1.2193550061987803, h: 4.704255789763893e-06
Iteration 153500, err: 1.3865198668930772, h: 5.1778392391077125e-06
Iteration 154000, err: 1.478534113727267, h: 5.43110874620204e-06
Iteration 154500, err: 0.9018445003162557, h: 6.0856798111496866e-06
Iteration 155000, err: 0.9297629277466807, h: 6.271354743196046e-06
Iteration 155500, err: 0.9994413405887222, h: 6.738426448332055e-06
Iteration 156000, err: 1.0362247049917268, h: 4.1529353899113634e-06
Iteration 156500, err: 1.128913927109958, h: 4.426626986231217e-06
Iteration 157000, err: 1.1550247052560123, h: 4.501255113666658e-06
Iteration 157500, err: 1.2193549231442786, h: 4.685985313505617e-06
Iteration 158000, err: 1.3865197470128363, h: 5.157761474072602e-06
Iteration 158500, err: 1.478533970168558, h: 5.4100824561850995e-06
Iteration 159000, err: 0.9018444751109463, h: 6.062156853318537e-06
Iteration 159500, err: 0.9297628983312703, h: 6.247152711063805e-06
Iteration 160000, err: 0.9994413009401795, h: 6.712463284055593e-06
Iteration 160500, err: 1.0362246589266775, h: 4.136959637939271e-06
Iteration 161000, err: 1.1289138649470494, h: 4.4096254516306205e-06
Iteration 161500, err: 1.155024637418858, h: 4.483994456357586e-06
Iteration 162000, err: 1.2193548417105873, h: 4.668044843481648e-06
Iteration 162500, err: 1.38651962899692, h: 5.138046121590338e-06
Iteration 163000, err: 1.478533828617009, h: 5.389435452794042e-06
Iteration 163500, err: 0.9018444507903162, h: 6.03905794260231e-06
Iteration 164000, err: 0.9297628695999902, h: 6.223386683416048e-06
Iteration 164500, err: 0.9994412618995014, h: 6.686967548755486e-06
Iteration 165000, err: 1.0362246135544373, h: 4.121271319401743e-06
Iteration 165500, err: 1.1289138038358302, h: 4.3929296095792994e-06
Iteration 166000, err: 1.1550245708058389, h: 4.4670439511511366e-06
Iteration 166500, err: 1.2193547617243383, h: 4.650426533722481e-06
Iteration 167000, err: 1.386519513422623, h: 5.118684575088004e-06
Iteration 167500, err: 1.478533690042712, h: 5.369158737849243e-06
Iteration 168000, err: 0.9018444265789565, h: 6.01637303080699e-06
Iteration 168500, err: 0.9297628412531533, h: 6.200046341804016e-06
Iteration 169000, err: 0.9994412233590891, h: 6.661928191527192e-06
Iteration 169500, err: 1.0362245690211147, h: 4.105863647156158e-06
Iteration 170000, err: 1.128913743744469, h: 4.376532248973476e-06
Iteration 170500, err: 1.1550245052594013, h: 4.450396289530883e-06
Iteration 171000, err: 1.21935468311986, h: 4.633122801415114e-06
Iteration 171500, err: 1.3865193996504386, h: 5.099668515953695e-06
Iteration 172000, err: 1.4785335537438566, h: 5.349243615348749e-06
Iteration 172500, err: 0.9018444027806959, h: 5.994092404268499e-06
Iteration 173000, err: 0.9297628134333946, h: 6.177121707942128e-06
Iteration 173500, err: 0.999441185839369, h: 6.637334528057813e-06
Iteration 174000, err: 1.0362245252435427, h: 4.09073005710867e-06
Iteration 174500, err: 1.1289136847925965, h: 4.360426396759934e-06
Iteration 175000, err: 1.1550244409722072, h: 4.434044404281832e-06
Iteration 175500, err: 1.2193546057322318, h: 4.616126313749652e-06
Iteration 176000, err: 1.3865192877081425, h: 5.0809898997287e-06
Iteration 176500, err: 1.478533419858174, h: 5.329681673768507e-06
Iteration 177000, err: 0.901844379318876, h: 5.9722066704305604e-06
Iteration 177500, err: 0.9297627861003611, h: 6.154603133928043e-06
Iteration 178000, err: 0.9994411488047412, h: 6.613176224614146e-06
Iteration 178500, err: 1.0362244821186424, h: 4.075864202473183e-06
Iteration 179000, err: 1.1289136268313622, h: 4.344605309056959e-06
Iteration 179500, err: 1.1550243778586688, h: 4.4179814599800456e-06
Iteration 180000, err: 1.2193545299361577, h: 4.599429977864668e-06
Iteration 180500, err: 1.3865191780955606, h: 5.062640944724102e-06
Iteration 181000, err: 1.4785332881058035, h: 5.310464778405716e-06
